x,y,z
47591248,52548000.0,23679590.0
47557960,52529312.0,23774000.0
47557504,52475256.0,23846746.0
47227280,52318512.0,24774000.0
47324036,51548000.0,25563440.0
47484404,51476748.0,25352882.0
47855000,50935540.0,25352882.0
47863076,50603488.0,25774000.0
47855000,50601892.0,25789470.0
47324912,51376008.0,25789470.0
47129480,51548000.0,25949910.0
47167404,51627712.0,25774000.0
46855000,52544644.0,25241976.0
46850960,52548000.0,25245734.0
46265496,52992880.0,25752986.0
46265496,52975792.0,25774000.0
45971320,52757124.0,26556522.0
45960692,52595028.0,26774000.0
45855000,52568184.0,26949636.0
45782960,52660628.0,26951922.0
45056596,53548000.0,27051132.0
45076380,53758656.0,26774000.0
44867376,54513656.0,26197534.0
44859964,54548000.0,26167322.0
44855000,54558608.0,26161566.0
44787812,54674932.0,26125874.0
44728068,54674932.0,26213882.0
43931336,55431996.0,26502922.0
43855000,55400504.0,26637838.0
43700044,55548000.0,26671936.0
43704908,55698092.0,26508694.0
43195344,56548000.0,26151356.0
43093980,56928532.0,25774000.0
42995848,57295356.0,25429922.0
43107644,57295356.0,25257450.0
42887820,57548000.0,25253794.0
42897108,57905608.0,24774000.0
42855000,58100404.0,24563176.0
42518368,58548000.0,24473136.0
42219268,58814088.0,24560542.0
42179044,58707536.0,24774000.0
41855000,58720132.0,25229086.0
41659464,58922536.0,25229086.0
41126804,59548000.0,25127378.0
41151164,59783868.0,24774000.0
40855000,60526692.0,24216514.0
40837752,60548000.0,24212422.0
39965160,61378324.0,24266464.0
39866868,61116108.0,24774000.0
39855000,61115328.0,24792316.0
39429816,61528372.0,24792316.0
39411520,61548000.0,24789650.0
39413100,61558004.0,24774000.0
39393992,61596228.0,24750662.0
39497660,61905340.0,24208254.0
39133152,62548000.0,23812806.0
39101008,62601516.0,23774000.0
38855000,63152984.0,23252360.0
38375676,63509780.0,23425858.0
38778300,63523628.0,22774000.0
38761564,63548000.0,22764966.0
38709060,63600536.0,22763752.0
37855000,64450504.0,22760066.0
37840216,64454292.0,22774000.0
37300412,64548000.0,23406640.0
36866044,65240004.0,22828344.0
36855000,65252576.0,22822868.0
36778900,65298740.0,22850102.0
36778900,65300184.0,22847870.0
36360688,65548000.0,23063354.0
35855000,66079872.0,22927084.0
35671632,65910160.0,23393148.0
35145652,66548000.0,23080018.0
34855000,66727344.0,23163590.0
34376972,67168992.0,23056018.0
33872608,67548000.0,23030256.0
33855000,67573344.0,23015094.0
33392102,67573344.0,23642872.0
33609424,67800856.0,23019574.0
33650284,67892520.0,22774000.0
33395562,68371344.0,22233438.0
32855000,68514968.0,22699958.0
32759066,68548000.0,22771044.0
32749004,68556928.0,22767666.0
32745762,68555416.0,22774000.0
32002504,68704960.0,23509016.0
31993128,68583976.0,23774000.0
31855000,68602888.0,23914300.0
