x,y,z
47760544,-55440072.0,-12226000.0
47493880,-55430948.0,-13064830.0
47585236,-55220352.0,-13226000.0
47740392,-54560616.0,-13939861.0
47855000,-54560616.0,-13648677.0
47921032,-54452000.0,-13699503.0
47921032,-54287336.0,-14025703.0
48624032,-53904668.0,-13226000.0
48855000,-54047380.0,-12264745.0
48856580,-54055536.0,-12241002.0
48865628,-54047808.0,-12226000.0
48855000,-54086136.0,-12175521.0
48811880,-54452000.0,-11456579.0
48855000,-54462952.0,-11290635.0
48866756,-54473272.0,-11226000.0
48867544,-54675704.0,-10764136.0
49084736,-54515376.0,-10226000.0
49092140,-54537808.0,-10123164.0
49154980,-54452000.0,-10056978.0
49245976,-54256884.0,-10226000.0
49204404,-54233112.0,-10444887.0
49265600,-53836976.0,-11226000.0
49383140,-53452000.0,-11691686.0
49496040,-52965148.0,-12226000.0
49525056,-52452000.0,-13046885.0
49540984,-52430652.0,-13046885.0
49855000,-52088512.0,-12812347.0
50053440,-51718652.0,-13226000.0
49997356,-51452000.0,-13919809.0
49855000,-51451804.0,-14225042.0
49854740,-51451684.0,-14226000.0
49699840,-51451652.0,-14702137.0
49855000,-51102972.0,-14904480.0
50241556,-50502096.0,-15175871.0
50284404,-50452000.0,-15175871.0
50795996,-50350956.0,-14226000.0
50791292,-50452000.0,-14020403.0
50855000,-50742552.0,-13323709.0
50870424,-50764224.0,-13226000.0
50904972,-51025096.0,-12521080.0
51237968,-50452000.0,-12370565.0
51399444,-49736104.0,-13226000.0
51465060,-49452000.0,-13562951.0
51666248,-49266592.0,-13226000.0
51855000,-49222044.0,-12606864.0
51972512,-49096152.0,-12529733.0
52459752,-48452000.0,-12477478.0
52619116,-48331796.0,-12226000.0
52855000,-48301584.0,-11425995.0
52917564,-48233456.0,-11380534.0
53501660,-47452000.0,-11293380.0
53542136,-47418288.0,-11226000.0
53653132,-47393232.0,-10827037.0
53843432,-47321468.0,-10226000.0
53842408,-47452000.0,-9822933.0
53855000,-47539872.0,-9516295.0
53876472,-47611900.0,-9226000.0
53915752,-47726672.0,-8674910.0
54155236,-47452000.0,-8455404.0
54364420,-46866744.0,-9226000.0
54509520,-46452000.0,-9833274.0
54737032,-46275372.0,-9226000.0
54855000,-46328744.0,-8423020.0
54899924,-46283388.0,-8339082.0
55261724,-45728588.0,-8226000.0
55231944,-45798672.0,-8152902.5
54889920,-46452000.0,-7850846.5
54934992,-46583692.0,-7226000.0
54964924,-46637892.0,-6881366.5
55105332,-46452000.0,-6779208.0
55249392,-46057888.0,-7226000.0
55445764,-45452000.0,-8142794.0
55749364,-45169212.0,-7226000.0
55855000,-45179584.0,-6529790.0
55906720,-45129928.0,-6397377.0
56184048,-44689160.0,-6226000.0
56189596,-44729912.0,-6050579.5
55890364,-45452000.0,-5410529.5
55906376,-45483640.0,-5226000.0
55913776,-45521508.0,-5056468.0
55960920,-45452000.0,-5026160.5
56037872,-45245380.0,-5226000.0
56332012,-44452000.0,-6135020.0
56390944,-44300644.0,-6226000.0
56676224,-43452000.0,-7048134.5
56824728,-43398992.0,-6226000.0
56825708,-43452000.0,-6039153.5
56845184,-43617264.0,-5397752.0
56814692,-43734972.0,-5226000.0
56855000,-43708028.0,-5039780.0
56889964,-43794932.0,-4544111.5
57096072,-43452000.0,-4399790.5
57418524,-42542008.0,-5226000.0
57450504,-42452000.0,-5319250.0
57567560,-42129260.0,-5548738.5
57501192,-42370384.0,-5226000.0
57552616,-42324452.0,-4998158.0
57790440,-42029924.0,-4226000.0
57855000,-41975940.0,-3902520.8
57975692,-41784104.0,-3750943.2
58146628,-41452000.0,-3725465.0
58373156,-40824380.0,-4226000.0
58495724,-40452000.0,-4644632.5
58633552,-40250380.0,-4226000.0
58813792,-40049632.0,-3358568.8
58845568,-40009316.0,-3226000.0
58855000,-40000404.0,-3167363.5
59082356,-39563196.0,-3076799.5
59135252,-39452000.0,-3084965.5
59197868,-39277652.0,-3226000.0
59446540,-38504828.0,-4173173.2
59461440,-38459000.0,-4226000.0
59463632,-38452000.0,-4235322.5
59761584,-37491936.0,-5226000.0
59768352,-37452000.0,-5310401.0
59782336,-37443060.0,-5226000.0
59781376,-37452000.0,-5197912.0
59781804,-37455216.0,-5181406.0
59468708,-38442304.0,-4226000.0
59471524,-38439536.0,-4208332.5
59736716,-38025660.0,-3226000.0
59855000,-37868716.0,-2558581.5
59890960,-37813136.0,-2469897.8
60069824,-37452000.0,-2440420.2
60273184,-36855336.0,-3226000.0
60401344,-36452000.0,-3845737.2
60514580,-36102212.0,-4226000.0
60554308,-35864408.0,-4813593.5
60616740,-35613648.0,-5226000.0
60637644,-35452000.0,-5628197.5
60726860,-35355460.0,-5226000.0
60780804,-35365320.0,-4663208.0
60839724,-35332912.0,-4226000.0
60827188,-35452000.0,-3781759.0
60832420,-35486840.0,-3561253.8
60709368,-35850444.0,-3226000.0
60852252,-35688400.0,-2232894.5
60854008,-35685432.0,-2226000.0
60855000,-35683792.0,-2220832.0
60941336,-35549060.0,-1960226.5
60990992,-35452000.0,-1944698.8
61069768,-35241460.0,-2226000.0
61150296,-34993816.0,-2684184.2
61257324,-34667624.0,-3226000.0
61325668,-34452000.0,-3610203.8
61423664,-34085228.0,-4226000.0
61464832,-33833208.0,-4844793.5
61501576,-33647112.0,-5226000.0
61534492,-33452000.0,-5638035.0
61666868,-33249404.0,-5226000.0
61760120,-33191402.0,-4577271.5
61828136,-33115340.0,-4226000.0
61855000,-33123582.0,-3887210.0
61949672,-32999880.0,-3553436.0
62226300,-32452000.0,-3396802.5
62318812,-32017144.0,-4226000.0
62447416,-31452000.0,-5142958.0
62462156,-31386152.0,-5226000.0
62467356,-31331960.0,-5346040.5
62542224,-30824778.0,-6226000.0
62585420,-30452000.0,-6923874.0
62765168,-30211492.0,-6226000.0
62855000,-30290316.0,-5236873.5
62855928,-30290438.0,-5230153.5
62857852,-30287208.0,-5226000.0
62855000,-30298242.0,-5211327.0
62845020,-30452000.0,-4781452.5
62855000,-30567038.0,-4313016.5
62857820,-30587558.0,-4226000.0
62865392,-30788550.0,-3387083.5
62914136,-30720184.0,-3226000.0
62958792,-30707132.0,-2807826.2
63090724,-30452000.0,-2581108.2
63168244,-30095646.0,-3226000.0
63275760,-29609784.0,-4068215.5
63294000,-29519636.0,-4226000.0
63310716,-29452000.0,-4321764.5
63398264,-28918552.0,-5226000.0
